PC1,DeltaG_kJ_mol
-1.112942199781513075e+01,3.457887577492512410e+00
-1.099982731545502013e+01,3.457887577492512410e+00
-1.087023263309490950e+01,3.457887577492512410e+00
-1.074063795073479888e+01,3.457887577492512410e+00
-1.061104326837468825e+01,3.457887577492512410e+00
-1.048144858601457763e+01,3.457887577492512410e+00
-1.035185390365446878e+01,3.457887577492512410e+00
-1.022225922129435816e+01,3.457887577492512410e+00
-1.009266453893424753e+01,3.457887577492512410e+00
-9.963069856574136907e+00,3.457887577492512410e+00
-9.833475174214026282e+00,3.457887577492512410e+00
-9.703880491853915657e+00,3.457887577492512410e+00
-9.574285809493805033e+00,3.457887577492512410e+00
-9.444691127133694408e+00,3.457887577492512410e+00
-9.315096444773583784e+00,3.457887577492512410e+00
-9.185501762413473159e+00,3.457887577492512410e+00
-9.055907080053362534e+00,3.457887577492512410e+00
-8.926312397693251910e+00,3.457887577492512410e+00
-8.796717715333143062e+00,3.457887577492512410e+00
-8.667123032973032437e+00,3.457887577492512410e+00
-8.537528350612921813e+00,3.457887577492512410e+00
-8.407933668252811188e+00,3.457887577492512410e+00
-8.278338985892700563e+00,3.457887577492512410e+00
-8.148744303532589939e+00,3.457887577492512410e+00
-8.019149621172479314e+00,3.457887577492512410e+00
-7.889554938812368690e+00,3.457887577492512410e+00
-7.759960256452258065e+00,3.457887577492512410e+00
-7.630365574092147440e+00,3.457887577492512410e+00
-7.500770891732036816e+00,1.728943788746255539e+00
-7.371176209371926191e+00,3.457887577492512410e+00
-7.241581527011815567e+00,3.457887577492512410e+00
-7.111986844651705830e+00,3.457887577492512410e+00
-6.982392162291595206e+00,1.728943788746255539e+00
-6.852797479931484581e+00,3.457887577492512410e+00
-6.723202797571373956e+00,3.457887577492512410e+00
-6.593608115211264220e+00,3.457887577492495534e+00
-6.464013432851153595e+00,3.457887577492512410e+00
-6.334418750491042971e+00,3.457887577492512410e+00
-6.204824068130932346e+00,3.457887577492512410e+00
-6.075229385770821722e+00,3.457887577492512410e+00
-5.945634703410711097e+00,3.457887577492512410e+00
-5.816040021050600473e+00,3.457887577492512410e+00
-5.686445338690490736e+00,1.728943788746255539e+00
-5.556850656330380112e+00,3.457887577492512410e+00
-5.427255973970269487e+00,3.457887577492512410e+00
-5.297661291610158862e+00,7.175765064749359823e-01
-5.168066609250048238e+00,3.457887577492512410e+00
-5.038471926889938501e+00,7.175765064749186628e-01
-4.908877244529827877e+00,3.457887577492512410e+00
-4.779282562169717252e+00,3.457887577492512410e+00
-4.649687879809606628e+00,3.457887577492512410e+00
-4.520093197449496003e+00,3.457887577492512410e+00
-4.390498515089385378e+00,3.457887577492512410e+00
-4.260903832729274754e+00,3.457887577492512410e+00
-4.131309150369164129e+00,3.457887577492512410e+00
-4.001714468009054393e+00,3.457887577492512410e+00
-3.872119785648943768e+00,3.457887577492512410e+00
-3.742525103288833144e+00,3.457887577492512410e+00
-3.612930420928722519e+00,3.457887577492512410e+00
-3.483335738568611895e+00,3.457887577492512410e+00
-3.353741056208501714e+00,1.728943788746239552e+00
-3.224146373848391534e+00,3.457887577492512410e+00
-3.094551691488280909e+00,1.728943788746255539e+00
-2.964957009128170284e+00,3.457887577492512410e+00
-2.835362326768059660e+00,1.728943788746255539e+00
-2.705767644407949035e+00,3.457887577492512410e+00
-2.576172962047838411e+00,3.457887577492512410e+00
-2.446578279687727786e+00,3.457887577492512410e+00
-2.316983597327617161e+00,1.728943788746255539e+00
-2.187388914967506537e+00,7.175765064749359823e-01
-2.057794232607396800e+00,3.457887577492477771e+00
-1.928199550247287064e+00,3.457887577492512410e+00
-1.798604867887176439e+00,7.175765064749359823e-01
