PC1,PC2,PC3
6.154200505979702918e+00,-8.596000477156236386e+00,9.251026827292628596e+00
6.859272903883518069e+00,-6.120358977643826748e+00,4.024687383591078138e+00
9.286995166228422249e+00,-3.883362330706364052e+00,6.465565711145170091e+00
9.622933380459913977e+00,-3.445296627985122040e+00,2.199292069670312877e+00
1.016972807436911275e+01,-2.652323859538848194e-01,4.308854873838325439e+00
1.175576226622690434e+01,-2.797667196684956892e+00,7.156191905934288222e+00
1.096247447681701459e+01,5.356271056199221059e-01,5.970910920653349052e+00
9.628266115624882104e+00,-6.648514561645138876e+00,7.701204065861962711e+00
9.433898700220089140e+00,5.031527108108209134e-01,1.073806638645928402e+01
9.137788106719019865e+00,-1.972889290809839435e+00,3.456305685700445718e+00
1.213282348582470149e+01,-3.415451540605690894e+00,1.637112747993709760e+00
8.345890745000694722e+00,-2.192046776822867749e+00,-5.963571085335925837e-01
1.103387897425627173e+01,-4.597283793390530171e+00,-2.495922169655606204e+00
9.589710518875586232e+00,-3.291880903887724585e+00,-1.848365655174380784e+00
9.228578174274613133e+00,-3.383188592639419845e+00,-4.792285529149073575e+00
7.558820531935078080e+00,-3.449617378668069723e+00,-1.419802694508903285e+00
9.438758134738517214e+00,-3.500205252524814625e+00,-4.231533134141442609e+00
6.325694611155240565e+00,-3.495085130588463596e+00,-2.786885125111953965e+00
2.674737691288885166e+00,-4.389370260797782919e+00,-5.444382194491813820e+00
5.572620057470219379e+00,-1.555351406882796050e+00,-7.588189858486289019e+00
4.477601751721231871e+00,5.853512559558786243e+00,-5.171974932616523191e+00
8.844919561793563645e+00,5.340561884841542373e+00,-4.343180323686977040e+00
8.965450566954453748e+00,1.919065363746193187e+00,-3.274411709376125135e+00
6.353262405159166626e+00,1.918726709908639139e+00,-8.199916233832986734e+00
4.032499729471079597e+00,2.426831524389347017e+00,-7.904159295516540951e+00
6.486198113228735629e+00,-4.365347604245244817e+00,-7.919755587810748843e+00
3.236660379835805124e+00,-4.267048288893972030e-01,-8.815009889878412608e+00
3.412392725942213767e-01,1.041411449157724434e+00,-5.215027018812734561e+00
3.416579113044003524e+00,5.839940236042403754e+00,-4.121874831324658039e+00
1.003187757221805310e+00,-1.436603853673464326e-01,-2.591715855794149537e+00
1.796609621816176672e+00,-1.277941280817905811e+00,1.032961378437739608e+00
1.904053860580834145e+00,5.117359197974926666e+00,-4.269576397423191061e+00
8.374789244662400600e-01,7.357357374686320783e-01,-4.398998293233064238e+00
-8.026664406811021002e-02,2.144401668483512324e+00,-2.445678055661840933e+00
5.672366246008617718e-01,1.962149521854237744e+00,-5.598171571364202181e-01
-7.617767219289715008e-01,6.697866151943418167e+00,-5.356402740076147140e+00
4.298819792068865553e+00,5.185074986584042200e+00,-4.831460001558016693e+00
-8.513435540832128279e-01,7.060277905959115863e-01,-2.577514530998433973e+00
-1.133752632462719179e+00,-2.751388279332182663e+00,-3.847858616847268376e+00
-4.571005784713257358e-01,5.898243314310248842e+00,1.653857952688275068e+00
-2.142828884258622058e+00,2.747752669192836006e+00,3.227354072342909053e+00
-1.657323248320178299e+00,2.093427475883001154e+00,-1.067587281547916378e+00
-5.021161973772253262e+00,5.916616983110165151e+00,1.974791958500467626e+00
-2.880926767964633761e+00,7.857361646203326444e+00,-5.978635552131008613e-01
-1.329761344747661944e+00,6.662360749112004932e+00,2.282035026031685732e+00
-5.656277290499660992e+00,2.068785588561010247e+00,4.530158375917805458e+00
-3.115988141759127306e+00,3.497330740970100660e+00,6.293543393230113914e+00
-1.802514792359472429e+00,2.727213976074631674e+00,1.125764981094011796e+00
-2.193276824467906838e+00,6.947750628606215173e+00,-1.531745956395637043e-01
-5.318310220648052145e+00,2.384882463972086253e+00,5.532217156648036038e-01
-2.032730079448829219e+00,1.119447381808257092e+01,1.783137993678244104e+00
-1.303152634087812123e+00,4.992335079881017990e+00,1.132336947169526375e+00
-2.197490355884380853e-01,4.059414409292999792e+00,-8.006230550417806624e-01
-7.519308196696075086e-01,3.239235870860417865e+00,-2.217843928431495193e-01
-1.748104206458207077e+00,4.644539153023167444e+00,5.052415577001410085e+00
-1.762447886703107924e+00,5.238752326853883368e+00,2.476623739145930703e+00
-4.288751938954060705e+00,5.503284068082745506e+00,-5.640311387873632176e-01
-2.333697745019113423e+00,5.949801317668930167e+00,2.104695262174997694e+00
-4.132974965652586596e-01,5.231976063316414738e+00,6.076397736012099315e+00
-3.143590145916689949e+00,3.782446448818379547e+00,2.973990265710752534e-01
-2.619559416038475863e+00,3.063295654442377280e+00,8.573312242000007410e-01
-1.113247959583163471e+00,5.110028316806904058e+00,-7.607256836451585791e-01
-1.162776435029670541e+00,4.510794254235493739e+00,2.050718467420247659e+00
-1.137250329727362397e+00,7.002887868209012545e+00,4.214599290454377645e+00
2.593568494409880798e-01,7.074289433286423012e+00,9.453890569040064307e-01
-2.310704680155525104e+00,2.981424048386603687e+00,6.339946202474351367e-01
1.622943173563397457e+00,-1.717576903398842614e+00,1.095037985790918267e+00
4.449373380679984558e-01,-1.592623015861733826e+00,-1.464973641417658179e+00
2.393051459645649803e-01,2.992335503318544365e+00,1.430834227376708512e+00
-9.991282146956081966e-01,2.596173732619270424e+00,-1.729682780287092214e+00
-1.348859439767507329e+00,1.506057152373886820e+00,3.998792026126452903e+00
-3.316165171064016093e+00,-4.289259240393990424e+00,1.657886981154025108e+00
-5.153244597121299897e+00,-2.989431023192512082e+00,1.973863917609635976e+00
-2.895946678682874698e+00,1.771039122429232338e+00,9.816555621415226085e-01
-4.347772829648942405e+00,-7.280979468157523726e+00,3.936321096408682330e+00
-3.220336383730570518e+00,-6.538300948957068925e+00,2.881628657578312325e+00
-4.831129926561916754e+00,-7.713069468342167667e+00,2.741677477443321465e+00
-4.631145157855939942e+00,-2.705365276254237283e+00,1.699158026352310280e+00
-6.995412693057308395e+00,-3.108325839852707606e+00,1.279578718996772446e+00
-2.157498373247523915e+00,-4.734188014028664959e+00,-1.319345684421760367e+00
-3.565774535804477896e+00,-4.561496894716043471e+00,-2.455674255842933973e-01
-5.079031191814544322e+00,-6.955186419981927770e+00,-2.520872472645432794e+00
-4.046766994644815263e+00,-4.853916541254577055e+00,-6.035206248740755619e+00
-7.141832694928087477e+00,-7.043169372471927758e+00,-3.699810511613419006e+00
-7.545376489812912091e+00,-4.587777333128709500e+00,-4.090402142720608758e+00
-7.527306588801738307e+00,-5.759907481964795295e+00,2.211150894057048344e+00
-1.119421933899518606e+01,-9.925357413388153915e+00,-4.296882228576532903e+00
-9.380383999426433306e+00,-9.796248953713019958e+00,-7.158150960941238594e-01
-7.428082365590062075e+00,-6.385355182860408263e+00,2.455966083169608183e+00
-5.386666482570056758e+00,-4.852191033472506021e+00,3.130906227884318938e+00
-5.357669214005084335e+00,-3.462031866879994979e+00,-3.291970224557743130e+00
-5.293322808185401129e+00,-5.558152547877946326e+00,1.993842490953535718e+00
-5.510745287659941205e+00,-2.004842074291036003e+00,1.781452549982852851e+00
-5.662879379014373882e+00,2.266120402737732853e+00,3.241759291626981287e+00
-3.390430936061635592e+00,4.344662770824414544e+00,6.222189598990487625e+00
-6.493178544439816235e+00,2.750714688606898495e+00,1.139903788637705695e+00
-7.924129022990523019e+00,-1.762510332751936470e+00,-7.722181439328789088e-01
-5.077706204714756311e+00,2.739608855343588445e+00,-2.898486017071039811e+00
-6.830564836678250096e+00,-2.855401763958136829e+00,-4.442498751122765377e+00
-6.994050145449699052e+00,-1.369757082940877169e+00,2.742083975535416496e-01
-6.570815647163303019e+00,-9.085944363396702972e-01,-5.981843605208239101e-01
