frame,time_ps,vdw,elec,polar_solv,nonpolar_solv,delta_G,SA_complex,SA_receptor,SA_ligand
0,0.0,0.0,0.0,0.0,2554.2597125951374,2554.2597125951374,378307.87300923024,22588.704630582564,960.8749626563599
10,100.0,0.0,0.0,0.0,2547.224153546535,2547.224153546535,377721.5764218467,22930.710973222962,1009.7330116049884
20,200.0,0.0,0.0,0.0,2549.9211178484993,2549.9211178484993,377786.72048711154,22637.56267953119,993.4469952887789
30,300.0,0.0,0.0,0.0,2548.983043308686,2548.983043308686,378096.15479711955,23158.715201649895,912.0169137077314
40,400.0,0.0,0.0,0.0,2547.6931908164415,2547.6931908164415,377412.14211183874,22572.418614266353,993.4469952887789
50,500.0,0.0,0.0,0.0,2546.5205976416746,2546.5205976416746,377591.288291317,22930.710973222962,977.1609789725694
60,600.0,0.0,0.0,0.0,2552.1490448805566,2552.1490448805566,378405.5891071275,22995.8550384878,944.5889463401504
70,700.0,0.0,0.0,0.0,2552.03178556308,2552.03178556308,378487.01918870857,23077.285120068846,960.8749626563599
80,800.0,0.0,0.0,0.0,2549.686599213546,2549.686599213546,378014.7247155385,22914.424956906754,977.1609789725694
90,900.0,0.0,0.0,0.0,2548.044968768872,2548.044968768872,377949.58065027365,23077.285120068846,977.1609789725694
100,1000.0,0.0,0.0,0.0,2551.2109703407427,2551.2109703407427,378405.5891071275,23093.571136385057,977.1609789725694
